Is matrix product commutative in general?	No, it is not commutative.
Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;<span class=cloze>[...]</span></div>	Ways to measure missing values?<div>* Ignore the missing data feature vector completely. Might not be able to do this if that instance we are ignoring is the most Important one we want to learn<br></div><div>*&nbsp;Fill in data by hand. Might not be possible as we do not have access to subjects anymore. Costly and too slow.</div><div>*&nbsp;Set the value to a missing value</div><div>*&nbsp;Replace with the mean</div><div>*&nbsp;Predict missing values with a classifier</div><div>*&nbsp;<span class=cloze>Accept missing values, let algorithm deal with it</span></div><br> 
What are solutions to noisy values?<div>* Manual removal<br><div>*&nbsp;Clustering to find instances that lie outside main clusters</div> <div>*&nbsp;Use linear regression to determine function, remove those that lie from the predicted value</div> <div>*&nbsp;<span class=cloze>[...]</span></div></div>	What are solutions to noisy values?<div>* Manual removal<br><div>*&nbsp;Clustering to find instances that lie outside main clusters</div> <div>*&nbsp;Use linear regression to determine function, remove those that lie from the predicted value</div> <div>*&nbsp;<span class=cloze>Ignore all values that occur below a certain frequency threshold (effective for misspellings</span></div></div><br> 
What are solutions to noisy values?<div>* Manual removal<br><div>*&nbsp;<span class=cloze>[...]</span></div> <div>*&nbsp;Use linear regression to determine function, remove those that lie from the predicted value</div> <div>*&nbsp;Ignore all values that occur below a certain frequency threshold (effective for misspellings</div></div>	What are solutions to noisy values?<div>* Manual removal<br><div>*&nbsp;<span class=cloze>Clustering to find instances that lie outside main clusters</span></div> <div>*&nbsp;Use linear regression to determine function, remove those that lie from the predicted value</div> <div>*&nbsp;Ignore all values that occur below a certain frequency threshold (effective for misspellings</div></div><br> 
What are solutions to noisy values?<div>* Manual removal<br><div>*&nbsp;Clustering to find instances that lie outside main clusters</div> <div>*&nbsp;<span class=cloze>[...]</span></div> <div>*&nbsp;Ignore all values that occur below a certain frequency threshold (effective for misspellings</div></div>	What are solutions to noisy values?<div>* Manual removal<br><div>*&nbsp;Clustering to find instances that lie outside main clusters</div> <div>*&nbsp;<span class=cloze>Use linear regression to determine function, remove those that lie from the predicted value</span></div> <div>*&nbsp;Ignore all values that occur below a certain frequency threshold (effective for misspellings</div></div><br> 
What are solutions to noisy values?<div>* <span class=cloze>[...]</span><br><div>*&nbsp;Clustering to find instances that lie outside main clusters</div> <div>*&nbsp;Use linear regression to determine function, remove those that lie from the predicted value</div> <div>*&nbsp;Ignore all values that occur below a certain frequency threshold (effective for misspellings</div></div>	What are solutions to noisy values?<div>* <span class=cloze>Manual removal</span><br><div>*&nbsp;Clustering to find instances that lie outside main clusters</div> <div>*&nbsp;Use linear regression to determine function, remove those that lie from the predicted value</div> <div>*&nbsp;Ignore all values that occur below a certain frequency threshold (effective for misspellings</div></div><br> 
When we remove noisy values, what can we do?	We fill the missing features with our missing value techniques.
What is data canonicalization?	The same entity can be referred to by different names, or different entities by the same name. Mac = Apple &amp; Big Mac. Will smith = fresh prince. What is this called?
The same entity can be referred to by different names, or different entities by the same name. Mac = Apple &amp; Big Mac. Will smith = fresh prince. What is this called?	What is data canonicalization?
What is redundant values?	Multiple copies of the same data point, what is this?
Multiple copies of the same data point, what is this?	What is redundant values?
What is under-fitting?	We get poor performance on training data because the model is not suffiently fitted
We get poor performance on training data because the model is not suffiently fitted	What is under-fitting?
What is over-fitting?	High accuracy on training (90% +) but very low accuracy on testing (40%)
High accuracy on training (90% +) but very low accuracy on testing (40%)	What is over-fitting?
What's a better situation to be in? Overfitting or underfitting?	Overfitting - cause there are things we can do to fix it. Underfitting means it is not learning at all.
Solutions to under-fitting?<div>*&nbsp;Run algorithm further to converge</div><div>*&nbsp;Feature space is too small / inadequate</div><div>*&nbsp;Training data is bad / noisy / missing values</div><div>*&nbsp;<span class=cloze>[...]</span></div>	Solutions to under-fitting?<div>*&nbsp;Run algorithm further to converge</div><div>*&nbsp;Feature space is too small / inadequate</div><div>*&nbsp;Training data is bad / noisy / missing values</div><div>*&nbsp;<span class=cloze>Algorithm not training well, use a different algorithm</span></div><br> 
Solutions to under-fitting?<div>*&nbsp;Run algorithm further to converge</div><div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Training data is bad / noisy / missing values</div><div>*&nbsp;Algorithm not training well, use a different algorithm</div>	Solutions to under-fitting?<div>*&nbsp;Run algorithm further to converge</div><div>*&nbsp;<span class=cloze>Feature space is too small / inadequate</span></div><div>*&nbsp;Training data is bad / noisy / missing values</div><div>*&nbsp;Algorithm not training well, use a different algorithm</div><br> 
Solutions to under-fitting?<div>*&nbsp;Run algorithm further to converge</div><div>*&nbsp;Feature space is too small / inadequate</div><div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Algorithm not training well, use a different algorithm</div>	Solutions to under-fitting?<div>*&nbsp;Run algorithm further to converge</div><div>*&nbsp;Feature space is too small / inadequate</div><div>*&nbsp;<span class=cloze>Training data is bad / noisy / missing values</span></div><div>*&nbsp;Algorithm not training well, use a different algorithm</div><br> 
Solutions to under-fitting?<div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Feature space is too small / inadequate</div><div>*&nbsp;Training data is bad / noisy / missing values</div><div>*&nbsp;Algorithm not training well, use a different algorithm</div>	Solutions to under-fitting?<div>*&nbsp;<span class=cloze>Run algorithm further to converge</span></div><div>*&nbsp;Feature space is too small / inadequate</div><div>*&nbsp;Training data is bad / noisy / missing values</div><div>*&nbsp;Algorithm not training well, use a different algorithm</div><br> 
Over-fitting solutions?<div>*&nbsp;<span class=cloze>[...]</span><div>*&nbsp;Early stopping, premature termination of training to prevent paraemter overfitting</div> <div>*&nbsp;Dropout, randomly tune only half of the parameters on any given training instance</div></div>	Over-fitting solutions?<div>*&nbsp;<span class=cloze>Reduce flexibility of model (regularisation)</span><div>*&nbsp;Early stopping, premature termination of training to prevent paraemter overfitting</div> <div>*&nbsp;Dropout, randomly tune only half of the parameters on any given training instance</div></div><br> 
Over-fitting solutions?<div>*&nbsp;Reduce flexibility of model (regularisation)<div>*&nbsp;<span class=cloze>[...]</span></div> <div>*&nbsp;Dropout, randomly tune only half of the parameters on any given training instance</div></div>	Over-fitting solutions?<div>*&nbsp;Reduce flexibility of model (regularisation)<div>*&nbsp;<span class=cloze>Early stopping, premature termination of training to prevent paraemter overfitting</span></div> <div>*&nbsp;Dropout, randomly tune only half of the parameters on any given training instance</div></div><br> 
Over-fitting solutions?<div>*&nbsp;Reduce flexibility of model (regularisation)<div>*&nbsp;Early stopping, premature termination of training to prevent paraemter overfitting</div> <div>*&nbsp;<span class=cloze>[...]</span></div></div>	Over-fitting solutions?<div>*&nbsp;Reduce flexibility of model (regularisation)<div>*&nbsp;Early stopping, premature termination of training to prevent paraemter overfitting</div> <div>*&nbsp;<span class=cloze>Dropout, randomly tune only half of the parameters on any given training instance</span></div></div><br> 
What is dropout really effective on?	Deep neural networks
State the 2 main types of data mining models.<div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Descriptive</div>	State the 2 main types of data mining models.<div>*&nbsp;<span class=cloze>Predictive</span></div><div>*&nbsp;Descriptive</div><br> 
State the 2 main types of data mining models.<div>*&nbsp;Predictive</div><div>*&nbsp;<span class=cloze>[...]</span></div>	State the 2 main types of data mining models.<div>*&nbsp;Predictive</div><div>*&nbsp;<span class=cloze>Descriptive</span></div><br> 
What is the missing value problem?	When we have a feature vector with a singular missing value.
When we have a feature vector with a singular missing value.	What is the missing value problem?
State 2 downsides to deleting feature vectors with missing values<div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;If we are observing a small population, deleting values will negatively affect the truthfulness of the data</div>	State 2 downsides to deleting feature vectors with missing values<div>*&nbsp;<span class=cloze>Those feature vectors might be the most important</span></div><div>*&nbsp;If we are observing a small population, deleting values will negatively affect the truthfulness of the data</div><br> 
State 2 downsides to deleting feature vectors with missing values<div>*&nbsp;Those feature vectors might be the most important</div><div>*&nbsp;<span class=cloze>[...]</span></div>	State 2 downsides to deleting feature vectors with missing values<div>*&nbsp;Those feature vectors might be the most important</div><div>*&nbsp;<span class=cloze>If we are observing a small population, deleting values will negatively affect the truthfulness of the data</span></div><br> 
What is a benefit and disadvantage of filling missing values with the mean?<div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Bad if those data points are outliers</div>	What is a benefit and disadvantage of filling missing values with the mean?<div>*&nbsp;<span class=cloze>If the data points with missing values are by other features aligned with the average</span></div><div>*&nbsp;Bad if those data points are outliers</div><br> 
What is a benefit and disadvantage of filling missing values with the mean?<div>*&nbsp;If the data points with missing values are by other features aligned with the average</div><div>*&nbsp;<span class=cloze>[...]</span></div>	What is a benefit and disadvantage of filling missing values with the mean?<div>*&nbsp;If the data points with missing values are by other features aligned with the average</div><div>*&nbsp;<span class=cloze>Bad if those data points are outliers</span></div><br> 
Given that there is a high correlation between height and weight of a student, how do we overcome the missing-value problem?	We build a linear regression classifier, so if we are missing weight we can classify the student based on their height.
What is the bias?	"Adjust a fixed shift from zero, if the ""interesting"" region happens to be far from the origin&nbsp;"
By including <span class=cloze>[...]</span>, we can squeeze the bias term b into the weight factor	By including <span class=cloze>a feature that is always 1</span>, we can squeeze the bias term b into the weight factor<br> 
By including a feature that is always 1, we can <span class=cloze>[...]</span>	By including a feature that is always 1, we can <span class=cloze>squeeze the bias term b into the weight factor</span><br> 
What is online learning?	A type of learning that only learns one input at a time
A type of learning that only learns one input at a time	What is online learning?
What is offline learning?	Batch learning, learn everything at once
Batch learning, learn everything at once	What is offline learning?
X = (1, 0)<div>Y = (1, 1)</div><div>Compute x + y using parallelogram approach</div>	(2, 1)
X = (1, 0)<div>Y = (1, 1)</div><div>Compute x - y using parallelogram approach</div>	(0, -1)
Provide a geometric interpretation for the updaterule in Perceptron when a negative instance ismistaken to be positive.	"<img src=""paste-7a22e848b42294cc786e6c5d981b71b544149839.jpg""><div>We have our negative instance, and a weight vector W. This is the hyperplane.&nbsp;</div><div><br></div><div>The goal is to move the hyperplane, what we do is remove the value of the training instance from the weight (w-x) and we get a new vector</div>"
Should we train on test data?	No
What does the confusion matrix look like?	"<img src=""paste-c03f9692d66adbb4bb424415a9bdf290746b8d4e.jpg"">"
"<img src=""paste-c03f9692d66adbb4bb424415a9bdf290746b8d4e.jpg"">"	What does the confusion matrix look like?
We predict the cancer but they don't have cancer, where is this in the confusion matrix?	False positive
We predict no cancer but they have cancer, where is this in the confusion matrix?	false negative
Accuracy using the confusion matrix?<div><span class=cloze>[...]</span> / (TP + TN + FP + FN)</div>	Accuracy using the confusion matrix?<div><span class=cloze>(TP + TN)</span> / (TP + TN + FP + FN)</div><br> 
Accuracy using the confusion matrix?<div>(TP + TN) / <span class=cloze>[...]</span></div>	Accuracy using the confusion matrix?<div>(TP + TN) / <span class=cloze>(TP + TN + FP + FN)</span></div><br> 
What is precision using confusion matrix?	P = TP / (TP + FP)<div>All the correct predictions out of all positive instances</div>
P = TP / (TP + FP)<div>All the correct predictions out of all positive instances</div>	What is precision using confusion matrix?
What is recall using confusion matrix?	R = TP / (TP + FN)<div>How many instances are correctly classified out of all positive instances</div>
R = TP / (TP + FN)<div>How many instances are correctly classified out of all positive instances</div>	What is recall using confusion matrix?
What is the f-score?	F-score = (2 x Precision x Recall) / (Precision + Recall)
F-score = (2 x Precision x Recall) / (Precision + Recall)	What is the f-score?
"<img src=""paste-31bc1b06ed9d031a95f78f1fbbf0b8c6c179f19f.jpg"">"	"<img src=""paste-710a5d9d147c8902261546488f3254f6da8cc360.jpg"">"
Can we get a high precision and low recall system?	"No, there is a tradeoff!<div><img src=""paste-695e47fe4393ea4f690daad077aa1470b5570fd2.jpg""><br></div>"
When should we use Harmonic Mean?	When there is an inverse relation between two variables
What is F_Score the harmonic mean of?	Between Precision and Recall
What is an ROC curve?	True positive plotted against false positive
True positive plotted against false positive	What is an ROC curve?
On an ROC curve, where do we want to be?	Top left. High TP, low FP
Does a confusion matrix / ROC curve work for regression?	No, because we get numbers back. Not binary classification.
Root mean square error	"<img src=""paste-ea44dd9f20b076d4354340586d7f46a030e12e36.jpg"">"
"<img src=""paste-ea44dd9f20b076d4354340586d7f46a030e12e36.jpg"">"	Root mean square error
We have a single train dataset.  We do not have aseparate test dataset.  We want to evaluate a classifcation algorithm as reliably as possible using this train dataset.  How should we go about this?	Cross validation!
What is a fold of a dataset?	Using a small percentage of the training data for validation
Issues of cross validation include:<div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;If we are setting hyper paraemters the best paraemters might be in a different fold</div>	Issues of cross validation include:<div>*&nbsp;<span class=cloze>Slow</span></div><div>*&nbsp;If we are setting hyper paraemters the best paraemters might be in a different fold</div><br> 
Issues of cross validation include:<div>*&nbsp;Slow</div><div>*&nbsp;<span class=cloze>[...]</span></div>	Issues of cross validation include:<div>*&nbsp;Slow</div><div>*&nbsp;<span class=cloze>If we are setting hyper paraemters the best paraemters might be in a different fold</span></div><br> 
What is leave one out validation?	Leave only one of the train instances in each fold of validation<div><b>Pros</b></div><div>Lots of data to train from</div><div><b>Cons</b></div><div>Very slow!</div>
Bayes rule	P(H|E) = P(E|H)P(H) / P(E)<div><br></div><div>We can skip this.</div>
P(H|E) = P(E|H)P(H) / P(E)<div><br></div><div>We can skip this.</div>	Bayes rule
What is bayes rule?<div>\[P(H|E) = \frac{P(E|H)P(H)}{[...]}\]</div>	What is bayes rule?<div>\[P(H|E) = \frac{P(E|H)P(H)}{P(E)}\]</div><br> 
What is bayes rule?<div>\[P(H|E) = \frac{[...]P(H)}{P(E)}\]</div>	What is bayes rule?<div>\[P(H|E) = \frac{P(E|H)P(H)}{P(E)}\]</div><br> 
What is bayes rule?<div>\[P(H|E) = \frac{P(E|H)[...]}{P(E)}\]</div>	What is bayes rule?<div>\[P(H|E) = \frac{P(E|H)P(H)}{P(E)}\]</div><br> 
What is bayes rule?<div>\[[...] = \frac{P(E|H)P(H)}{P(E)}\]</div>	What is bayes rule?<div>\[P(H|E) = \frac{P(E|H)P(H)}{P(E)}\]</div><br> 
If 2 events A and B are <span class=cloze>[...]</span>, then irrespective of B A will happen.	If 2 events A and B are <span class=cloze>independent</span>, then irrespective of B A will happen.<br> 
If 2 events A and B are independent, then irrespective of <span class=cloze>[...]</span>.	If 2 events A and B are independent, then irrespective of <span class=cloze>B A will happen</span>.<br> 
<span class=cloze>[...]</span> = P(A|H)P(B|H)	<span class=cloze>P(A,B|H)</span> = P(A|H)P(B|H)<br> 
P(A,B|H) = <span class=cloze>[...]</span>P(B|H)	P(A,B|H) = <span class=cloze>P(A|H)</span>P(B|H)<br> 
P(A,B|H) = P(A|H)<span class=cloze>[...]</span>	P(A,B|H) = P(A|H)<span class=cloze>P(B|H)</span><br> 
How naive is naive bayes?	Sometimes too naive. The probability of Liverpool winning a football match is not independent of the probability for each member of the team scoring a goal.&nbsp;
What is Laplace smoothing?	We can borrow some probabilities from high probability features and distribute them among zero probability features
We can borrow some probabilities from high probability features and distribute them among zero probability features	What is Laplace smoothing?
Let count(cat) = 9, count(dog) = 0,  count(rabbit) = 1. Compute P(cat), P(dog), P(rabbit)	\[P(cat) = (9)/(9 + 0 + 1) = 0.9\] \[p(dog)=0/9+0+1 = 0\] \[p(rabbit) = 1/9+0+1 = 0.1\]
Let count(cat) = 9, count(dog) = 0,  count(rabbit) = 1.  \[P(cat) = (9)/(9 + 0 + 1) = 0.9\] \[p(dog)=0/9+0+1 = 0\] \[p(rabbit) = 1/9+0+1 = 0.1\]  Laplace smoothing?	Dog = 1/13 Cat = 10/13 Rabbit = 2/10
What is a bag of words?	"We turn the words into a vector where element corresponds to total frequency in document. {""Burger"": 2} ""Burger Burger"""
What is multinomial distribution?	Extension of binomial distribution for more than 2 classes
What is a rule based classifier?	Learn a rule from training data in the form IF x THEN y<div><br></div><div>IF forecast = rainy THEN play=NO</div>
Advantages of rule based classifiers:<div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Can handle categorical features (binary value is it going to rain or not</div>	Advantages of rule based classifiers:<div>*&nbsp;<span class=cloze>Easier to understand</span></div><div>*&nbsp;Can handle categorical features (binary value is it going to rain or not</div><br> 
Advantages of rule based classifiers:<div>*&nbsp;Easier to understand</div><div>*&nbsp;<span class=cloze>[...]</span></div>	Advantages of rule based classifiers:<div>*&nbsp;Easier to understand</div><div>*&nbsp;<span class=cloze>Can handle categorical features (binary value is it going to rain or not</span></div><br> 
Disadvantages of rule based learners:<div>*&nbsp;<span class=cloze>[KNN]</span>)}}</div><div>*&nbsp;Rules can get very complicated if we have millions of features</div><div>*&nbsp;Old school machine learning, but some newer models with good performance such as random forest classifiers</div>	Disadvantages of rule based learners:<div>*&nbsp;<span class=cloze>Tends to overfit the data more easier than some of the other algorithms ({unknown field c2</span>)}</div><div>*&nbsp;Rules can get very complicated if we have millions of features</div><div>*&nbsp;Old school machine learning, but some newer models with good performance such as random forest classifiers</div><br> 
Disadvantages of rule based learners:<div>*&nbsp;Tends to overfit the data more easier than some of the other algorithms ({unknown field c2)}</div><div>*&nbsp;<span class=cloze>[...]</span></div><div>*&nbsp;Old school machine learning, but some newer models with good performance such as random forest classifiers</div>	Disadvantages of rule based learners:<div>*&nbsp;Tends to overfit the data more easier than some of the other algorithms ({unknown field c2)}</div><div>*&nbsp;<span class=cloze>Rules can get very complicated if we have millions of features</span></div><div>*&nbsp;Old school machine learning, but some newer models with good performance such as random forest classifiers</div><br> 
Disadvantages of rule based learners:<div>*&nbsp;Tends to overfit the data more easier than some of the other algorithms ({unknown field c2)}</div><div>*&nbsp;Rules can get very complicated if we have millions of features</div><div>*&nbsp;<span class=cloze>[...]</span></div>	Disadvantages of rule based learners:<div>*&nbsp;Tends to overfit the data more easier than some of the other algorithms ({unknown field c2)}</div><div>*&nbsp;Rules can get very complicated if we have millions of features</div><div>*&nbsp;<span class=cloze>Old school machine learning, but some newer models with good performance such as random forest classifiers</span></div><br> 
